Date,U.K. pound (GBP),U.S. dollar (USD)
18-Mar-2002,1.13717,0.79902
19-Mar-2002,1.13894,0.797522
20-Mar-2002,1.13707,0.79946
21-Mar-2002,1.14189,0.797465
22-Mar-2002,1.14121,0.799561
25-Mar-2002,1.14282,0.801138
26-Mar-2002,1.14275,0.801987
27-Mar-2002,1.14102,0.800882
28-Mar-2002,1.14147,0.802043
29-Mar-2002,,0.801981
01-Apr-2002,,0.799041
02-Apr-2002,1.15006,0.800152
03-Apr-2002,1.14805,0.79953
04-Apr-2002,1.14728,0.798331
05-Apr-2002,1.14602,0.799007
08-Apr-2002,1.14607,0.798712
09-Apr-2002,1.14488,0.799384
10-Apr-2002,1.14562,0.797008
11-Apr-2002,1.14538,0.798567
12-Apr-2002,1.1473,0.79851
15-Apr-2002,1.14693,0.79792
16-Apr-2002,1.14651,0.79818
17-Apr-2002,1.14817,0.794913
18-Apr-2002,1.14773,0.794664
19-Apr-2002,1.14905,0.793597
22-Apr-2002,1.14891,0.794325
23-Apr-2002,1.15094,0.794516
24-Apr-2002,1.1487,0.793577
25-Apr-2002,1.14734,0.790069
26-Apr-2002,1.14735,0.790243
29-Apr-2002,1.15003,0.787369
30-Apr-2002,1.14916,0.788826
01-May-2002,1.14993,0.788811
02-May-2002,1.15131,0.787434
03-May-2002,1.15037,0.786257
06-May-2002,,0.783114
07-May-2002,1.14983,0.784438
08-May-2002,1.14954,0.786495
09-May-2002,1.1479,0.787581
10-May-2002,1.1477,0.78491
13-May-2002,1.14679,0.783918
14-May-2002,1.14308,0.787628
15-May-2002,1.14311,0.788787
16-May-2002,1.14442,0.785843
17-May-2002,1.14135,0.78379
20-May-2002,1.14066,0.781271
21-May-2002,1.139,0.781317
22-May-2002,1.13752,0.778593
23-May-2002,1.13785,0.779883
24-May-2002,1.13551,0.781599
27-May-2002,1.13673,0.781207
28-May-2002,1.13728,0.778958
29-May-2002,1.13604,0.777524
30-May-2002,1.13579,0.77528
31-May-2002,1.1364,0.774798
03-Jun-2002,,0.774743
04-Jun-2002,,0.774189
05-Jun-2002,1.13173,0.775955
06-Jun-2002,1.13036,0.776132
07-Jun-2002,1.13036,0.774166
10-Jun-2002,1.13118,0.773878
11-Jun-2002,1.13513,0.774464
12-Jun-2002,1.13888,0.773694
13-Jun-2002,1.13941,0.775163
14-Jun-2002,1.14044,0.771874
17-Jun-2002,1.14237,0.773175
18-Jun-2002,1.14488,0.772109
19-Jun-2002,1.14743,0.768541
20-Jun-2002,1.14705,0.768077
21-Jun-2002,1.14474,0.7653
24-Jun-2002,1.14417,0.760093
25-Jun-2002,1.14665,0.762706
26-Jun-2002,1.15164,0.75453
27-Jun-2002,1.15042,0.757252
28-Jun-2002,1.15524,0.751617
01-Jul-2002,1.15599,0.755108
02-Jul-2002,1.15744,0.757437
03-Jul-2002,1.15618,0.758099
04-Jul-2002,1.15747,0.7588
05-Jul-2002,1.15405,0.760392
08-Jul-2002,1.15683,0.755307
09-Jul-2002,1.16211,0.752811
10-Jul-2002,1.16544,0.750879
11-Jul-2002,1.16259,0.753169
12-Jul-2002,1.16475,0.752134
15-Jul-2002,1.16593,0.748257
16-Jul-2002,1.17002,0.743581
17-Jul-2002,1.16723,0.746074
18-Jul-2002,1.16847,0.746864
19-Jul-2002,1.17226,0.743347
22-Jul-2002,1.17259,0.744929
23-Jul-2002,1.17524,0.751046
24-Jul-2002,1.17599,0.75057
25-Jul-2002,1.17469,0.747545
26-Jul-2002,1.18093,0.747328
29-Jul-2002,1.18012,0.754986
30-Jul-2002,1.17887,0.754428
31-Jul-2002,1.18368,0.756153
01-Aug-2002,1.17638,0.758222
02-Aug-2002,1.18125,0.752101
05-Aug-2002,1.17765,0.753505
06-Aug-2002,1.17326,0.760525
07-Aug-2002,1.1676,0.760704
08-Aug-2002,1.16213,0.761605
09-Aug-2002,1.16185,0.760025
12-Aug-2002,1.15718,0.758708
13-Aug-2002,1.15895,0.75684
14-Aug-2002,1.16208,0.752153
15-Aug-2002,1.15754,0.755969
16-Aug-2002,1.15774,0.75487
19-Aug-2002,1.16248,0.755837
20-Aug-2002,1.15465,0.757747
21-Aug-2002,1.15532,0.756894
22-Aug-2002,1.15753,0.757494
23-Aug-2002,1.15571,0.760935
26-Aug-2002,1.15685,0.759187
27-Aug-2002,1.1556,0.757271
28-Aug-2002,1.15873,0.756009
29-Aug-2002,1.16224,0.75387
30-Aug-2002,1.16963,0.753288
02-Sep-2002,1.1685,0.754504
03-Sep-2002,1.17031,0.750825
04-Sep-2002,1.17359,0.750905
05-Sep-2002,1.17619,0.749258
06-Sep-2002,1.17784,0.751367
09-Sep-2002,1.17733,0.754846
10-Sep-2002,1.1749,0.75712
11-Sep-2002,1.17839,0.757319
12-Sep-2002,1.1763,0.757194
13-Sep-2002,1.17991,0.755484
16-Sep-2002,1.17437,0.761687
17-Sep-2002,1.16891,0.763694
18-Sep-2002,1.16925,0.760042
19-Sep-2002,1.17628,0.757572
20-Sep-2002,1.17564,0.758676
23-Sep-2002,1.17945,0.757517
24-Sep-2002,1.18022,0.759423
25-Sep-2002,1.18245,0.758712
26-Sep-2002,1.18372,0.758403
27-Sep-2002,1.17989,0.758628
30-Sep-2002,1.18221,0.756033
01-Oct-2002,1.18805,0.755326
02-Oct-2002,1.18569,0.75739
03-Oct-2002,1.18621,0.755548
04-Oct-2002,1.18578,0.756191
07-Oct-2002,1.18702,0.759501
08-Oct-2002,1.1875,0.758884
09-Oct-2002,1.17925,0.759682
10-Oct-2002,1.18294,0.756212
11-Oct-2002,1.18352,0.757693
14-Oct-2002,1.18241,0.75723
15-Oct-2002,1.17991,0.759275
16-Oct-2002,1.18039,0.759291
17-Oct-2002,1.18231,0.760766
18-Oct-2002,1.18018,0.762639
21-Oct-2002,1.17873,0.761649
22-Oct-2002,1.17791,0.762152
23-Oct-2002,1.17668,0.760918
24-Oct-2002,1.1774,0.761724
25-Oct-2002,1.18053,0.760211
28-Oct-2002,1.17847,0.761483
29-Oct-2002,1.18084,0.757435
30-Oct-2002,1.17947,0.757578
31-Oct-2002,1.18036,0.756639
01-Nov-2002,1.17853,0.753923
04-Nov-2002,1.17481,0.754679
05-Nov-2002,1.17538,0.75176
06-Nov-2002,1.17473,0.754147
07-Nov-2002,1.17699,0.751641
08-Nov-2002,1.18549,0.747804
11-Nov-2002,1.18854,0.744792
